站名,省,经纬度,省内火车站数量
祁门站,安徽,"117.724565,29.849274",64
黄山北站,安徽,"118.268257,29.81584",64
黄山站,安徽,"118.317128,29.724629",64
歙县北站,安徽,"118.405439,29.9243899999999",64
歙县站,安徽,"118.406087,29.8691239999999",64
绩溪北站,安徽,"118.567082,30.073633",64
霍邱站,安徽,"116.137503,32.056164",64
金寨站,安徽,"115.970130999999,31.628074",64
舒城站,安徽,"117.154079,31.5112759999999",64
六安站,安徽,"116.495036,31.717103",64
明光站,安徽,"117.989808999999,32.7778709999999",64
南陵站,安徽,"118.292676,30.838234",64
桐城站,安徽,"116.972956,31.052797",64
铜陵站,安徽,"117.856729,30.921313",64
铜陵北站,安徽,"118.016004,31.014727",64
芜湖站,安徽,"118.391174,31.350224",64
无为站,安徽,"117.963128,31.306215",64
黄口站,安徽,"116.692233,34.36124",64
砀山站,安徽,"116.324703,34.418052",64
灵璧站,安徽,"117.535978,33.6002039999999",64
泗县站,安徽,"117.844937,33.539186",64
宿州东站,安徽,"117.244716999999,33.6772169999999",64
宿州站,安徽,"116.989309,33.639963",64
宣城站,安徽,"118.768575,30.949245",64
绩溪县站,安徽,"118.579128999999,30.05827",64
泾县站,安徽,"118.381449,30.661541",64
旌德站,安徽,"118.52526,30.293827",64
宁国站,安徽,"118.986992,30.637298",64
马鞍山站,安徽,"118.49696,31.7095039999999",64
黄梅站,湖北,"115.937647,30.096226",74
安陆,湖北,"113.68929,31.2587499999999",74
赤壁北,湖北,"113.895041,29.738807",74
赤壁,湖北,"113.924407,29.724644",74
黄石,湖北,"114.935644999999,30.156579",74
大冶北,湖北,"114.995071,30.123555",74
武当山,湖北,"110.960972,32.5407099999999",74
当阳,湖北,"111.806164,30.8491229999999",74
花湖,湖北,"115.017022,30.263562",74
鄂州,湖北,"114.86154,30.3651459999999",74
葛店南,湖北,"114.654704,30.492877",74
鄂州东,湖北,"114.942948,30.3641189999999",74
建始,湖北,"109.723367999999,30.5699569999999",74
恩施,湖北,"109.480752,30.35086",74
巴东,湖北,"110.352683,30.665202",74
红安西,湖北,"114.626773,31.006567",74
华容,湖北,"114.717277999999,30.52736",74
华容东,湖北,"114.781273,30.5344529999999",74
华容南,湖北,"114.76937,30.4492699999999",74
黄州,湖北,"114.999253,30.5877769999999",74
黄冈,湖北,"114.93818,30.4886489999999",74
黄冈东,湖北,"114.980116,30.5100659999999",74
黄冈西,湖北,"114.88296,30.506374",74
黄石北,湖北,"115.002855999999,30.2139969999999",74
阳新,湖北,"115.174967,29.8625229999999",74
京山,湖北,"113.130173,31.037814",74
荆门,湖北,"112.206092,31.053273",74
荆州,湖北,"112.207267,30.37229",74
利川,湖北,"108.935953,30.282031",74
麻城,湖北,"114.95868,31.1485449999999",74
麻城北,湖北,"114.985861,31.1948909999999",74
蕲春,湖北,"115.440183,30.244256",74
潜江,湖北,"112.933528,30.3923099999999",74
十堰,湖北,"110.776289,32.6057739999999",74
松滋,湖北,"111.602135,30.1754539999999",74
随州,湖北,"113.411013,31.7236429999999",74
广水,湖北,"114.031209,31.633738",74
天门南,湖北,"113.450523,30.4302479999999",74
天门,湖北,"113.450523,30.4302479999999",74
庙山,湖北,"114.367817,30.415317",74
普安,湖北,"114.348715,30.3892029999999",74
汤逊湖,湖北,"114.379374,30.447918",74
花山南,湖北,"114.507653,30.53154",74
武汉,湖北,"114.418854999999,30.6093769999999",74
左岭,湖北,"114.6048,30.502237",74
乌龙泉南,湖北,"114.339577,30.259148",74
纸坊东,湖北,"114.338966,30.356178",74
武昌,湖北,"114.312343,30.530832",74
武穴,湖北,"115.632541,29.971709",74
浠水,湖北,"115.237359,30.4355219999999",74
仙桃西,湖北,"113.134095,30.42605",74
贺胜桥东,湖北,"114.365385,30.0207909999999",74
横沟桥东,湖北,"114.367136,29.935935",74
山坡东,湖北,"114.354471,30.0883469999999",74
土地堂东,湖北,"114.332168999999,30.214863",74
咸宁南,湖北,"114.300141999999,29.839599",74
咸宁,湖北,"114.283475,29.882244",74
咸宁东,湖北,"114.339736,29.8684939999999",74
襄阳,湖北,"112.148775,32.060025",74
谷城,湖北,"111.597010999999,32.26753",74
襄阳东,湖北,"112.220616,32.09879",74
孝感北,湖北,"114.21562,31.590066",74
花园,湖北,"113.977369,31.252858",74
孝感,湖北,"113.923768999999,30.9574129999999",74
云梦,湖北,"113.732885,31.023903",74
宜昌东,湖北,"111.364858,30.6604899999999",74
长阳,湖北,"110.845192999999,30.622605",74
枝江北,湖北,"111.766576,30.479157",74
宜城,湖北,"112.178629,31.631919",74
枝城,湖北,"111.510381,30.2801329999999",74
应城,湖北,"113.567133,30.925051",74
枣阳,湖北,"112.755942,32.072681",74
钟祥,湖北,"112.610884,31.178163",74
咸宁北,湖北,"114.296639,29.901616",74
戚墅堰站,江苏,"120.062696,31.7247899999999",57
常州站,江苏,"119.968517,31.787233",57
常州站,江苏,"119.968517,31.787233",57
常州北站,江苏,"119.950711,31.856195",57
丹阳站,江苏,"119.588333,32.004116",57
丹阳北站,江苏,"119.665807,32.01717",57
丹阳站,江苏,"119.588333,32.004116",57
东台站,江苏,"120.339279,32.8759919999999",57
阜宁站,江苏,"119.611864999999,33.5963599999999",57
淮安站,江苏,"119.027648,33.650154",57
句容西站,江苏,"118.974211999999,31.835035",57
昆山南站,江苏,"120.946526,31.355041",57
花桥站,江苏,"121.04134,31.3377149999999",57
昆山站,江苏,"120.953738,31.368569",57
阳澄湖站,江苏,"120.857648,31.382323",57
瓦屋山站,江苏,"119.268691,31.5606849999999",57
溧阳站,江苏,"119.49796,31.388213",57
东海县站,江苏,"118.7627,34.5182459999999",57
连云港站,江苏,"119.157743999999,34.610028",57
江宁站,江苏,"118.893917,31.9385629999999",57
溧水站,江苏,"119.091109,31.681546",57
仙林站,江苏,"118.907615,32.124796",57
南京站,江苏,"118.792979,32.089171",57
南京南站,江苏,"118.792759,31.970737",57
南通站,江苏,"120.855943,32.070411",57
海安县站,江苏,"120.500044,32.5499709999999",57
栟茶站,江苏,"120.87666,32.5007329999999",57
如东站,江苏,"121.172211,32.4467259999999",57
邳州站,江苏,"117.952968,34.318426",57
如皋站,江苏,"120.601965,32.385247",57
沭阳站,江苏,"118.758709,34.1129979999999",57
苏州园区站,江苏,"120.706458,31.343236",57
苏州站,江苏,"120.606639,31.331858",57
苏州新区站,江苏,"120.520413,31.373956",57
苏州北站,江苏,"120.638983,31.4237889999999",57
泰州站,江苏,"119.975628,32.531063",57
姜堰站,江苏,"120.114833,32.536112",57
无锡站,江苏,"120.300905,31.589036",57
惠山站,江苏,"120.196882,31.6715349999999",57
无锡东站,江苏,"120.455537,31.598783",57
无锡新区站,江苏,"120.387472,31.499848",57
新沂站,江苏,"118.343059,34.381869",57
泗洪站,江苏,"118.213613,33.608336",57
泗阳站,江苏,"118.708676,33.7562179999999",57
洋河站,江苏,"118.362744,33.790978",57
徐州东站,江苏,"117.297351,34.268109",57
徐州站,江苏,"117.201648,34.266624",57
盐城站,江苏,"120.169113999999,33.383938",57
建湖站,江苏,"119.79324,33.506683",57
江都站,江苏,"119.572737,32.460715",57
扬州站,江苏,"119.345693999999,32.3915549999999",57
宜兴站,江苏,"119.808449999999,31.313991",57
镇江南站,江苏,"119.418719999999,32.154324",57
丹徒站,江苏,"119.515848,32.117646",57
宝华山站,江苏,"119.05012,32.150765",57
镇江站,江苏,"119.427256,32.19914",57
镇江站,江苏,"119.427256,32.19914",57
海湾站,上海,"121.543857,30.8642509999999",12
安亭北站,上海,"121.153375999999,31.3164079999999",12
南翔北站,上海,"121.304901,31.283424",12
金山北站,上海,"121.084875,30.896412",12
上海虹桥站,上海,"121.316046,31.1961389999999",12
芦潮港站,上海,"121.846819,30.8875449999999",12
上海西站,上海,"121.398723,31.263973",12
松江站,上海,"121.223547,31.002018",12
新桥站,上海,"121.310942999999,31.061057",12
松江南站,上海,"121.226719,30.9871839999999",12
上海南站,上海,"121.424846,31.1549839999999",12
上海站,上海,"121.451047,31.25155",12
泉沟,辽宁,"124.258691,43.1800539999999",276
鞍山,辽宁,"122.980738,41.11056",276
灵山,辽宁,"123.042945,41.192084",276
鞍山西,辽宁,"122.910121,41.1163949999999",276
台安,辽宁,"122.425456999999,41.443631",276
能家,辽宁,"120.678591999999,41.619238",276
北票南,辽宁,"120.812903,41.7000439999999",276
上园,辽宁,"120.975296,41.6114839999999",276
高山子,辽宁,"122.064316,41.5459889999999",276
沟帮子,辽宁,"121.769535,41.359814",276
青堆子,辽宁,"121.907036,41.448143",276
祁家堡,辽宁,"123.810768999999,40.92642",276
连山关,辽宁,"123.755071,40.962687",276
田师府,辽宁,"124.3343,41.239378",276
泉水,辽宁,"124.215903999999,41.2556009999999",276
温泉寺,辽宁,"124.05185,41.336291",276
松树台,辽宁,"124.03998,41.3762339999999",276
小市,辽宁,"124.117501,41.3087829999999",276
草河口,辽宁,"123.905631,40.87718",276
偏岭,辽宁,"123.972536,41.386167",276
五女山,辽宁,"125.32143,41.276265",276
古城子,辽宁,"125.446403,41.4608199999999",276
桓龙湖,辽宁,"125.417927,41.252017",276
大雅河,辽宁,"125.041066,41.146149",276
牛心台,辽宁,"123.898184,41.3506959999999",276
南芬,辽宁,"123.743585999999,41.1007979999999",276
金坑,辽宁,"123.735305999999,41.132013",276
下马塘,辽宁,"123.730009999999,41.0298629999999",276
北台,辽宁,"123.632485,41.2288489999999",276
桥头,辽宁,"123.724200999999,41.1910779999999",276
桥北,辽宁,"123.814884,41.3376489999999",276
本溪,辽宁,"123.761745,41.325313",276
高家岁,辽宁,"123.733846,41.401606",276
石桥子,辽宁,"123.717916,41.449316",276
火连寨,辽宁,"123.728509,41.3564709999999",276
本溪湖,辽宁,"123.755719,41.322912",276
歪头山,辽宁,"123.64551,41.494449",276
八面城,辽宁,"124.05511,43.2064189999999",276
昌图西,辽宁,"124.061122,42.775215",276
曲家店,辽宁,"123.928118,43.224532",276
三江口,辽宁,"123.714353,43.36851",276
石脑,辽宁,"119.543616,41.450743",276
小平房,辽宁,"119.730197,41.382907",276
叶柏寿,辽宁,"119.63696,41.3905239999999",276
公营子,辽宁,"119.845393,41.355463",276
大营子,辽宁,"120.313528,41.46022",276
大平房,辽宁,"120.164111,41.434372",276
朝阳,辽宁,"120.436201999999,41.5766649999999",276
革镇堡,辽宁,"121.531617999999,39.0081819999999",276
夏家河,辽宁,"121.483552,39.0222139999999",276
大连北,辽宁,"121.602455,39.0159009999999",276
南关岭,辽宁,"121.576550999999,39.005577",276
营城子,辽宁,"121.370311,38.97948",276
周水子,辽宁,"121.555756,38.954638",276
登沙河,辽宁,"122.051096,39.2188209999999",276
广宁寺,辽宁,"121.803689,39.1868479999999",276
牛角山,辽宁,"121.776014,39.195576",276
亮甲店,辽宁,"121.931584,39.2112169999999",276
蚕厂屯,辽宁,"121.880234,39.191042",276
三十里堡,辽宁,"121.792700999999,39.2651159999999",276
杏树屯,辽宁,"122.147993,39.2650179999999",276
金州,辽宁,"121.722282,39.086944",276
龙头,辽宁,"121.299817,38.869224",276
长岭子,辽宁,"121.311431,38.9360179999999",276
刘家村,辽宁,"121.301753,38.9038189999999",276
大刘家,辽宁,"122.180477999999,39.3218559999999",276
普湾,辽宁,"121.808145,39.3290549999999",276
沙河口,辽宁,"121.58232,38.924525",276
大连,辽宁,"121.627747,38.9215749999999",276
大石桥,辽宁,"122.500743,40.643895",276
灌水,辽宁,"124.560273,40.860405",276
长甸,辽宁,"124.805916,40.480355",276
坦甸,辽宁,"124.794757,40.621639",276
永甸,辽宁,"124.837208,40.557091",276
汤山城,辽宁,"124.20357,40.310167",276
老古沟,辽宁,"124.32852,40.228402",276
蛤蟆塘,辽宁,"124.373183,40.171979",276
金山湾,辽宁,"124.352339,40.204714",276
五龙背,辽宁,"124.269724999999,40.2582689999999",276
丹东,辽宁,"124.38226,40.122888",276
灯塔,辽宁,"123.311907,41.4280279999999",276
张台子,辽宁,"123.266869,41.351588",276
一面山,辽宁,"124.091609,40.347124",276
汤河,辽宁,"124.149362999999,40.317402",276
官家,辽宁,"124.171439,40.474131",276
赵家,辽宁,"126.929424999999,47.530805",276
大堡,辽宁,"124.245172999999,40.5513219999999",276
凤凰城,辽宁,"124.051126,40.447226",276
张家堡,辽宁,"124.029191,40.3924949999999",276
鸡冠山,辽宁,"123.918991,40.517693",276
四台子,辽宁,"123.978847,40.4811649999999",276
袁家堡,辽宁,"123.93321,40.49322",276
刘家河,辽宁,"123.980999,40.670178",276
秋木庄,辽宁,"123.938163,40.63092",276
石城,辽宁,"124.435402,40.286172",276
边沟,辽宁,"124.373161,40.7237319999999",276
庙阳,辽宁,"124.450121999999,40.7970019999999",276
天桥,辽宁,"124.501965,40.813234",276
铁佛寺,辽宁,"124.341708999999,40.6874109999999",276
佟家,辽宁,"124.412801,40.7520969999999",276
林家台,辽宁,"123.946625,40.716126",276
通远堡,辽宁,"123.921469,40.7856889999999",276
章党,辽宁,"124.071393,41.905434",276
李石寨,辽宁,"123.721472,41.815032",276
南口前,辽宁,"124.607923,41.997869",276
黑石木,辽宁,"124.673336,42.028517",276
清原,辽宁,"124.930589,42.102218",276
抚顺北,辽宁,"123.912244,41.886175",276
瓢儿屯,辽宁,"123.796764,41.846901",276
南杂木,辽宁,"124.401296,41.963256",276
大官屯,辽宁,"123.86497,41.854911",276
抚顺,辽宁,"123.896278,41.8611599999999",276
营东,辽宁,"124.279979999999,41.943139",276
阿金,辽宁,"121.749405,42.0414079999999",276
阜新,辽宁,"121.632527999999,41.985323",276
清河门,辽宁,"121.414353,41.77456",276
新邱,辽宁,"121.793408,42.093235",276
彰武,辽宁,"122.523407,42.3850419999999",276
章古台,辽宁,"122.480979,42.703971",276
大巴,辽宁,"121.997764,42.0998469999999",276
泡子,辽宁,"122.322998,42.205157",276
十家子,辽宁,"122.255652,42.099978",276
盖州西,辽宁,"122.268809,40.402875",276
盖州,辽宁,"122.328395,40.4176799999999",276
威宁,辽宁,"123.814093,41.344586",276
新岭,辽宁,"123.766063,41.396034",276
海城西,辽宁,"122.654728,40.912885",276
拉拉屯,辽宁,"122.359431,41.0307699999999",276
南台,辽宁,"122.802665,40.9205619999999",276
牛庄,辽宁,"122.513315,40.9327029999999",276
西柳,辽宁,"122.618109,40.84282",276
海城,辽宁,"122.737066,40.861469",276
唐家,辽宁,"122.244054,41.676526",276
大虎山,辽宁,"122.143182,41.6114979999999",276
南桥,辽宁,"119.930738,40.711905",276
建昌,辽宁,"119.816141,40.804687",276
钟杖子,辽宁,"119.843496,40.7647369999999",276
杨家店,辽宁,"119.994884,40.6931489999999",276
高桥镇,辽宁,"121.000282,40.8965219999999",276
葫芦岛北,辽宁,"120.758204,40.741669",276
营北,辽宁,"120.871958,40.78332",276
柳树屯,辽宁,"120.795435,40.7625609999999",276
孔家沟,辽宁,"120.504614,40.791905",276
台集屯,辽宁,"120.874898,41.0500729999999",276
葫芦岛,辽宁,"120.862962,40.752715",276
大荒地,辽宁,"120.839558999999,41.067261",276
黄甲屯,辽宁,"120.742206,41.096181",276
南票,辽宁,"120.72617,41.1173059999999",276
绥中北,辽宁,"120.318927,40.3467449999999",276
高岭,辽宁,"120.007436,40.1442539999999",276
万家屯,辽宁,"119.857752,40.039633",276
塔山,辽宁,"120.925698,40.8178679999999",276
杨树湾,辽宁,"120.060839,40.692774",276
四家子,辽宁,"120.096874,40.722895",276
鸽子洞,辽宁,"120.195294,40.785021",276
红石,辽宁,"119.536227,41.3308359999999",276
沙海,辽宁,"119.460756,41.4952139999999",276
南洼,辽宁,"118.766476999999,42.23854",276
西刘,辽宁,"122.204511999999,41.649999",276
段家,辽宁,"122.086405,41.576742",276
励家,辽宁,"122.349964,41.735022",276
广盛,辽宁,"122.295154999999,41.7068769999999",276
绕阳河,辽宁,"122.459363,41.7931999999999",276
小东,辽宁,"122.323498,42.029462",276
新立屯,辽宁,"122.171169,42.017997",276
锦州,辽宁,"121.135302,41.122228",276
锦州南,辽宁,"121.12011,41.0147809999999",276
薛家,辽宁,"121.183172,41.168567",276
女儿河,辽宁,"121.038287,41.0654159999999",276
何三家,辽宁,"120.965317,41.052562",276
八角台,辽宁,"121.239181,41.283976",276
桃园,辽宁,"121.084436,41.10488",276
七里河,辽宁,"121.251344,41.337409",276
周家屯,辽宁,"121.079358,41.57421",276
义县,辽宁,"121.224046,41.5251999999999",276
泥河子,辽宁,"121.223515,41.4513049999999",276
南汤,辽宁,"119.743852,40.8705739999999",276
宣家沟,辽宁,"119.546621,40.912644",276
金杖子,辽宁,"119.498808,40.8837619999999",276
开原西,辽宁,"123.913833,42.54735",276
开原,辽宁,"124.026272,42.543993",276
雅河,辽宁,"125.336113999999,41.226309",276
天桥沟,辽宁,"124.728123,40.9938059999999",276
龙爪沟,辽宁,"124.643109999999,40.8178259999999",276
宽甸,辽宁,"124.775735999999,40.717961",276
安平,辽宁,"123.418522,41.1857919999999",276
寒岭,辽宁,"123.553164,41.1793559999999",276
新寒岭,辽宁,"123.516389,41.1685019999999",276
太子河,辽宁,"123.225305,41.302083",276
辽阳,辽宁,"123.162730999999,41.27976",276
红旗,辽宁,"120.337003,47.569662",276
道口,辽宁,"121.696299,41.319068",276
金城,辽宁,"121.39583,41.1912379999999",276
兰家,辽宁,"121.312458,41.145465",276
石山,辽宁,"121.522328,41.2275059999999",276
双羊店,辽宁,"121.263013,41.1089649999999",276
凌海,辽宁,"121.357653,41.1791389999999",276
刀尔登,辽宁,"119.116204,40.7475719999999",276
北磴,辽宁,"119.207556999999,40.731869",276
任家店,辽宁,"119.379294,40.808199",276
凌源东,辽宁,"119.408546,41.2610919999999",276
凌源,辽宁,"119.377475,41.2334549999999",276
侯杖子,辽宁,"119.190299999999,41.1400319999999",276
河汤沟,辽宁,"119.464106,41.286129",276
魏杖子,辽宁,"119.058537,40.974722",276
东沟门,辽宁,"119.073312,40.9203189999999",276
东营子,辽宁,"119.090447,40.8687159999999",276
田家沟,辽宁,"119.432865,40.8530939999999",276
四道沟,辽宁,"119.081894,41.0785139999999",276
三十家,辽宁,"119.048637,41.012323",276
水泉,辽宁,"119.15815,41.111252",276
杨杖子,辽宁,"119.128994,40.717945",276
新开,辽宁,"122.274732,41.069099",276
盘锦北,辽宁,"121.802173999999,41.3340049999999",276
羊圈子,辽宁,"121.627163,41.27873",276
盘锦,辽宁,"122.055806,41.195528",276
渤海,辽宁,"122.090579,41.146943",276
城子坦,辽宁,"122.487939999999,39.505836",276
夹心子,辽宁,"122.399643,39.4570569999999",276
皮口,辽宁,"122.351867,39.406106",276
李家屯,辽宁,"122.280899,39.3886809999999",276
清水河,辽宁,"122.243638,39.3442119999999",276
普兰店,辽宁,"121.955254,39.400368",276
草市,辽宁,"125.230134,42.294994",276
苍石,辽宁,"124.515114999999,41.985424",276
英额门,辽宁,"125.068321999999,42.1679469999999",276
长山堡,辽宁,"124.987393,42.1330979999999",276
孤家子,辽宁,"123.482553999999,41.732453",276
深井子,辽宁,"123.646679,41.784067",276
东湖,辽宁,"120.598682,30.014244",276
沈阳,辽宁,"123.38719,41.792687",276
大成,辽宁,"123.344918,41.8256549999999",276
辽中,辽宁,"122.766184,41.5568689999999",276
虎石台,辽宁,"123.496346,41.9405659999999",276
沈阳北,辽宁,"123.429758,41.816988",276
陈相屯,辽宁,"123.525525,41.562469",276
苏家屯,辽宁,"123.34899,41.6601629999999",276
林盛堡,辽宁,"123.357311,41.576883",276
苏北,辽宁,"123.356444999999,41.681103",276
吴家屯,辽宁,"123.439117999999,41.623441",276
姚千户屯,辽宁,"123.613121,41.530168",276
沈阳西,辽宁,"123.279902,41.8665609999999",276
三台,辽宁,"123.149112,41.946578",276
兰家屯,辽宁,"123.254886,41.884776",276
马三家,辽宁,"123.231745,41.896433",276
江家岭,辽宁,"120.315962,40.281438",276
网户,辽宁,"120.182616,40.192213",276
绥中,辽宁,"120.347416999999,40.3207049999999",276
昌图,辽宁,"124.111033,42.7765849999999",276
得胜台,辽宁,"123.745886,42.2326729999999",276
铁岭西,辽宁,"123.66771,42.2303849999999",276
铁岭,辽宁,"123.831074,42.291331",276
瓦房店,辽宁,"122.002608,39.624321",276
瓦房店西,辽宁,"121.832802,39.655779",276
松树,辽宁,"122.092613,39.8246749999999",276
许家屯,辽宁,"122.075793,40.0389929999999",276
天德泉,辽宁,"124.738953,43.0664909999999",276
西丰,辽宁,"124.701289,42.732036",276
大红旗,辽宁,"122.608422,41.871941",276
罗家,辽宁,"122.779964,42.0430399999999",276
兴隆店,辽宁,"123.050934,41.978731",276
新民,辽宁,"122.812736,41.9996009999999",276
大甸,辽宁,"120.647469,40.5819789999999",276
东辛庄,辽宁,"120.447914999999,40.3592269999999",276
串子沟,辽宁,"120.422455,40.726658",276
郭家屯,辽宁,"120.528169,40.7368799999999",276
刘屯,辽宁,"120.472144,40.739192",276
兴城,辽宁,"120.696655,40.621924",276
沙后所,辽宁,"120.549291999999,40.476174",276
大徐屯,辽宁,"120.319453999999,40.726365",276
鲅鱼圈,辽宁,"122.088954,40.186382",276
熊岳城,辽宁,"122.142428,40.1798229999999",276
营口东,辽宁,"122.423,40.6228059999999",276
老边,辽宁,"122.364056,40.6712759999999",276
营口,辽宁,"122.259814,40.6842359999999",276
新城子,辽宁,"123.502140999999,42.04921",276
